,Job No,Arrival Time,Completion Time,No Jobs in System,No Jobs at Stage 1,No Jobs at Stage 2,No Jobs at Stage 3,Stage 1 Job Size,Stage 2 Job Size,Job Type,Stage 3 Job Size,Job Time
0,1.0,17.334859781733968,37.966739220614016,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.63187943888005
1,2.0,85.10691205525625,103.19115594819021,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.08424389293397
2,3.0,151.35740503707382,172.37918578418464,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.021780747110824
3,4.0,163.72590937480942,181.63646746950232,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,17.910558094692902
4,5.0,236.9691600743313,265.7238900719332,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,28.754729997601913
5,6.0,269.83493274110003,287.54722333693013,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,17.712290595830098
6,7.0,322.40233955971337,343.61403989643645,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.211700336723084
7,8.0,345.7977673999016,370.6481029873869,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,24.85033558748529
8,9.0,469.4236789391766,498.0588831276386,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,28.635204188461955
9,10.0,495.6334445983016,518.747485500394,1.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,23.11404090209237
10,11.0,620.099125592116,647.3658720897009,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,27.266746497584904
11,12.0,675.4462477643417,693.9398041169262,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.493556352584505
12,13.0,740.8471227446892,767.909567601342,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,27.06244485665286
13,14.0,842.2016184058765,860.0704819539264,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,17.868863548049944
14,15.0,870.9042289593473,899.5861168134925,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,28.681887854145202
15,16.0,900.9221516429544,918.9321829534476,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.01003131049322
16,17.0,973.7681339399701,994.5581661901095,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.79003225013946
17,18.0,1017.1846093375937,1041.0747551734796,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,23.89014583588596
18,19.0,1104.5206407699445,1125.3916944324328,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.871053662488293
19,20.0,1144.1825810046907,1167.1320654105873,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,22.949484405896555
20,21.0,1152.1305267978914,1180.8121568700876,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,28.681630072196185
